species,drug,n_classified,n_clsi_breakpoint,n_ecv_wt,n_ecv_nwt,n_unclassifiable,ecv_used,version,date_added
Aspergillus nomius,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus sydowii,Flucytosine,5,0,0,0,5,,v1,2026-07-06
Aspergillus terreus,Flucytosine,11,0,0,0,11,,v1,2026-07-06
Aspergillus terreus species complex,Flucytosine,6,0,0,0,6,,v1,2026-07-06
Aspergillus tubingensis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus ustus,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus ustus species complex,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus versicolor,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aspergillus versicolor species complex,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Candida albicans,Flucytosine,2825,0,2609,216,0,0.5,v1,2026-07-06
Candida auris,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Candida bracarensis,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Candida cacao,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Candida catenulata,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Candida dubliniensis,Flucytosine,97,0,0,0,97,,v1,2026-07-06
Candida fabianii,Flucytosine,7,0,0,0,7,,v1,2026-07-06
Candida fermentati,Flucytosine,15,0,0,0,15,,v1,2026-07-06
Candida fluviatilis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Flucytosine,1096,0,0,0,1096,,v1,2026-07-06
Candida guilliermondii,Flucytosine,48,0,0,0,48,,v1,2026-07-06
Candida haemulonii,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Candida inconspicua,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Candida kefyr,Flucytosine,36,0,0,0,36,,v1,2026-07-06
Candida krusei,Flucytosine,164,0,0,0,164,,v1,2026-07-06
Candida lipolytica,Flucytosine,6,0,0,0,6,,v1,2026-07-06
Candida lusitaniae,Flucytosine,104,0,0,0,104,,v1,2026-07-06
Candida metapsilosis,Flucytosine,8,0,0,0,8,,v1,2026-07-06
Candida nivariensis,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Candida norvegensis,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Candida orthopsilosis,Flucytosine,19,0,0,0,19,,v1,2026-07-06
Candida parapsilosis,Flucytosine,1025,0,0,0,1025,,v1,2026-07-06
Candida pararugosa,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Candida pelliculosa,Flucytosine,19,0,0,0,19,,v1,2026-07-06
Candida thasaenensis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Candida tropicalis,Flucytosine,604,0,0,0,604,,v1,2026-07-06
Coprinellus radians,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Cryptococcus gattii,Flucytosine,5,0,0,0,5,,v1,2026-07-06
Cryptococcus laurentii,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Cryptococcus neoformans,Flucytosine,84,0,0,0,84,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Flucytosine,112,0,0,0,112,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Flucytosine,22,0,0,0,22,,v1,2026-07-06
Debaryomyces fabryi,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Epicoccum nigrum,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Fonsecaea pedrosoi,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Fusarium solani species complex,Flucytosine,10,0,0,0,10,,v1,2026-07-06
Geotrichum clavatum,Flucytosine,5,0,0,0,5,,v1,2026-07-06
Gibberella fujikuroi species complex,Flucytosine,11,0,0,0,11,,v1,2026-07-06
Lichtheimia corymbifera,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Lichtheimia ramosa,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Lodderomyces elongisporus,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Lomentospora prolificans,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Magnusiomyces capitatus,Flucytosine,5,0,0,0,5,,v1,2026-07-06
Malassezia pachydermatis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Paecilomyces variotii,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Penicillium roqueforti group,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus aspergilloides,Flucytosine,4,0,0,0,4,,v1,2026-07-06
Penicillium subgenus furcatum,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus terverticillata,Flucytosine,4,0,0,0,4,,v1,2026-07-06
Penicillium variabile,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Phialemonium curvatum,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Pichia manshurica,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Pichia onychis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Rhizomucor miehei,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Rhizopus microsporus group,Flucytosine,3,0,0,0,3,,v1,2026-07-06
Rhizopus oryzae,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Rhodotorula mucilaginosa,Flucytosine,14,0,0,0,14,,v1,2026-07-06
Saccharomyces cerevisiae,Flucytosine,18,0,0,0,18,,v1,2026-07-06
Sarocladium kiliense,Flucytosine,13,0,0,0,13,,v1,2026-07-06
Scedosporium apiospermum,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Flucytosine,5,0,0,0,5,,v1,2026-07-06
Scedosporium aurantiacum,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Scopulariopsis brevicaulis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Trichoderma longibrachiatum,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Flucytosine,29,0,0,0,29,,v1,2026-07-06
Trichosporon mycotoxinivorans,Flucytosine,2,0,0,0,2,,v1,2026-07-06
Wangiella dermatitidis,Flucytosine,1,0,0,0,1,,v1,2026-07-06
Alternaria alternata,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus brasiliensis,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Isavuconazole,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Isavuconazole,209,0,0,0,209,,v1,2026-07-06
Aspergillus fumigatus,Isavuconazole,1356,1356,0,0,0,1,v1,2026-07-06
Aspergillus fumisynnematus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus hortai,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Isavuconazole,8,0,0,0,8,,v1,2026-07-06
Aspergillus melleus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Isavuconazole,31,0,0,0,31,,v1,2026-07-06
Aspergillus nidulans species complex,Isavuconazole,18,0,0,0,18,,v1,2026-07-06
Aspergillus niger,Isavuconazole,105,0,0,0,105,,v1,2026-07-06
Aspergillus niger species complex,Isavuconazole,150,0,0,0,150,,v1,2026-07-06
Aspergillus nomius,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus ochraceus species complex,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus parasiticus,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus sclerotiorum,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus tamarii,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus terreus,Isavuconazole,52,0,0,0,52,,v1,2026-07-06
Aspergillus terreus species complex,Isavuconazole,36,0,0,0,36,,v1,2026-07-06
Aspergillus thermomutatus,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus tubingensis,Isavuconazole,19,0,0,0,19,,v1,2026-07-06
Aspergillus udagawae,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus ustus,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Aspergillus ustus species complex,Isavuconazole,10,0,0,0,10,,v1,2026-07-06
Aspergillus versicolor,Isavuconazole,9,0,0,0,9,,v1,2026-07-06
Aspergillus versicolor species complex,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Blastobotrys adeninivorans,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida albicans,Isavuconazole,5446,0,0,0,5446,,v1,2026-07-06
Candida auris,Isavuconazole,121,0,0,0,121,,v1,2026-07-06
Candida bracarensis,Isavuconazole,9,0,0,0,9,,v1,2026-07-06
Candida cacao,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida catenulata,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida digboiensis,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Isavuconazole,352,0,0,0,352,,v1,2026-07-06
Candida duobushaemulonii,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Candida fabianii,Isavuconazole,22,0,0,0,22,,v1,2026-07-06
Candida fermentati,Isavuconazole,29,0,0,0,29,,v1,2026-07-06
Candida glabrata,Isavuconazole,2578,0,0,0,2578,,v1,2026-07-06
Candida guilliermondii,Isavuconazole,87,0,0,0,87,,v1,2026-07-06
Candida haemulonii,Isavuconazole,7,0,0,0,7,,v1,2026-07-06
Candida inconspicua,Isavuconazole,9,0,0,0,9,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida intermedia,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Candida kefyr,Isavuconazole,114,0,0,0,114,,v1,2026-07-06
Candida krusei,Isavuconazole,375,0,0,0,375,,v1,2026-07-06
Candida lipolytica,Isavuconazole,7,0,0,0,7,,v1,2026-07-06
Candida lusitaniae,Isavuconazole,268,0,0,0,268,,v1,2026-07-06
Candida margitis,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Isavuconazole,64,0,0,0,64,,v1,2026-07-06
Candida nivariensis,Isavuconazole,10,0,0,0,10,,v1,2026-07-06
Candida norvegensis,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Candida orthopsilosis,Isavuconazole,121,0,0,0,121,,v1,2026-07-06
Candida palmioleophila,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Isavuconazole,1923,0,0,0,1923,,v1,2026-07-06
Candida pararugosa,Isavuconazole,9,0,0,0,9,,v1,2026-07-06
Candida pelliculosa,Isavuconazole,21,0,0,0,21,,v1,2026-07-06
Candida pseudohaemulonii,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida rugosa,Isavuconazole,8,0,0,0,8,,v1,2026-07-06
Candida sojae,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Candida theae,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Isavuconazole,1258,0,0,0,1258,,v1,2026-07-06
Candida utilis,Isavuconazole,5,0,0,0,5,,v1,2026-07-06
Cryptococcus gattii,Isavuconazole,7,0,0,0,7,,v1,2026-07-06
Cryptococcus gattii species complex,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Cryptococcus neoformans,Isavuconazole,13,0,0,0,13,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Isavuconazole,243,0,0,0,243,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Isavuconazole,32,0,0,0,32,,v1,2026-07-06
Cunninghamella bertholletiae,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Cyberlindnera rhodanensis,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Exophiala attenuata,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Exophiala dermatitidis,Isavuconazole,13,0,0,0,13,,v1,2026-07-06
Fonsecaea pedrosoi,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium annulatum,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Fusarium dimerum,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium dimerum species complex,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium falciforme,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium incarnatum-equiseti species complex,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Fusarium musae,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium oxysporum species complex,Isavuconazole,23,0,0,0,23,,v1,2026-07-06
Fusarium petroliphilum,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium solani,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Fusarium solani species complex,Isavuconazole,44,0,0,0,44,,v1,2026-07-06
Geotrichum clavatum,Isavuconazole,24,0,0,0,24,,v1,2026-07-06
Geotrichum silvicola,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Gibberella fujikuroi species complex,Isavuconazole,22,0,0,0,22,,v1,2026-07-06
Kluyveromyces marxianus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Isavuconazole,8,0,0,0,8,,v1,2026-07-06
Lichtheimia corymbifera,Isavuconazole,8,0,0,0,8,,v1,2026-07-06
Lichtheimia ramosa,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Lodderomyces elongisporus,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Lomentospora prolificans,Isavuconazole,24,0,0,0,24,,v1,2026-07-06
Magnusiomyces capitatus,Isavuconazole,12,0,0,0,12,,v1,2026-07-06
Medicopsis romeroi,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Microascus cirrosus,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Monascus ruber,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Mucor circinelloides,Isavuconazole,13,0,0,0,13,,v1,2026-07-06
Mucor circinelloides/ Mucor ramosissimus,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Mucor indicus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Isavuconazole,15,0,0,0,15,,v1,2026-07-06
Paecilomyces variotii,Isavuconazole,12,0,0,0,12,,v1,2026-07-06
Penicillium chrysogenum,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Penicillium citrinum,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Penicillium georgiense,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Phaeoacremonium parasiticum,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Isavuconazole,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Pleurostomophora richardsiae,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Pseudopithomyces sacchari,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Purpureocillium lilacinum,Isavuconazole,5,0,0,0,5,,v1,2026-07-06
Rasamsonia argillacea,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Rasamsonia argillacea species complex,Isavuconazole,5,0,0,0,5,,v1,2026-07-06
Rhizomucor miehei,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Isavuconazole,4,0,0,0,4,,v1,2026-07-06
Rhizopus microsporus,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Rhizopus microsporus group,Isavuconazole,29,0,0,0,29,,v1,2026-07-06
Rhizopus oryzae,Isavuconazole,17,0,0,0,17,,v1,2026-07-06
Rhizopus oryzae species complex,Isavuconazole,7,0,0,0,7,,v1,2026-07-06
Rhodotorula mucilaginosa,Isavuconazole,28,0,0,0,28,,v1,2026-07-06
Saccharomyces cerevisiae,Isavuconazole,50,0,0,0,50,,v1,2026-07-06
Sarocladium kiliense,Isavuconazole,11,0,0,0,11,,v1,2026-07-06
Scedosporium apiospermum,Isavuconazole,10,0,0,0,10,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Isavuconazole,42,0,0,0,42,,v1,2026-07-06
Scedosporium aurantiacum,Isavuconazole,13,0,0,0,13,,v1,2026-07-06
Scedosporium boydii,Isavuconazole,9,0,0,0,9,,v1,2026-07-06
Scedosporium dehoogii,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Scopulariopsis brevicaulis / Scopulariopsis brumptii,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Trichoderma longibrachiatum,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Trichomonascus ciferrii complex,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Isavuconazole,54,0,0,0,54,,v1,2026-07-06
Trichosporon capitatum,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Trichosporon ovoides,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Aspergillus,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Unspeciated Candida,Isavuconazole,5,0,0,0,5,,v1,2026-07-06
Unspeciated Chaetomium,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Coprinellus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Corpinellus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Cunninghamella,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Unspeciated Curvularia,Isavuconazole,9,0,0,0,9,,v1,2026-07-06
Unspeciated Exophiala,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Fusarium,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Unspeciated Lichtheimia,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Mucor,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Paecilomyces,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Penicillium,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phaeoacremonium,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phialemoniopsis,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Rhizopus,Isavuconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Rhodotorula,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Sarocladium,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scedosporium,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scopulariopsis,Isavuconazole,3,0,0,0,3,,v1,2026-07-06
Unspeciated Syncephalastrum,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Unspeciated Trichosporon,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Verruconis gallopava,Isavuconazole,2,0,0,0,2,,v1,2026-07-06
Wickerhamomyces anomalus,Isavuconazole,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Isavuconazole,7,0,0,0,7,,v1,2026-07-06
Acremonium strictum genogroup III,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Alternaria alternata,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus aculeatus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus brasiliensis,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus clavatus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Itraconazole,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Itraconazole,319,0,0,0,319,,v1,2026-07-06
Aspergillus foetidus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Itraconazole,2084,0,1986,98,0,1,v1,2026-07-06
Aspergillus fumisynnematus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus hortai,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Itraconazole,11,0,0,0,11,,v1,2026-07-06
Aspergillus melleus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Itraconazole,49,0,0,0,49,,v1,2026-07-06
Aspergillus nidulans species complex,Itraconazole,20,0,0,0,20,,v1,2026-07-06
Aspergillus niger,Itraconazole,141,0,0,0,141,,v1,2026-07-06
Aspergillus niger species complex,Itraconazole,216,0,0,0,216,,v1,2026-07-06
Aspergillus nomius,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Aspergillus ochraceus species complex,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus parasiticus,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus piperis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus sclerotiorum,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Itraconazole,10,0,0,0,10,,v1,2026-07-06
Aspergillus tamarii,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Aspergillus terreus,Itraconazole,77,0,0,0,77,,v1,2026-07-06
Aspergillus terreus species complex,Itraconazole,48,0,0,0,48,,v1,2026-07-06
Aspergillus thermomutatus,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Aspergillus tubingensis,Itraconazole,22,0,0,0,22,,v1,2026-07-06
Aspergillus udagawae,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus,Itraconazole,7,0,0,0,7,,v1,2026-07-06
Aspergillus ustus species complex,Itraconazole,10,0,0,0,10,,v1,2026-07-06
Aspergillus versicolor,Itraconazole,14,0,0,0,14,,v1,2026-07-06
Aspergillus versicolor species complex,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida albicans,Itraconazole,7795,0,7627,168,0,0.12,v1,2026-07-06
Candida auris,Itraconazole,121,0,0,0,121,,v1,2026-07-06
Candida bracarensis,Itraconazole,11,0,0,0,11,,v1,2026-07-06
Candida cacao,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Candida catenulata,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Candida digboiensis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Itraconazole,428,0,0,0,428,,v1,2026-07-06
Candida duobushaemulonii,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Candida fabianii,Itraconazole,25,0,0,0,25,,v1,2026-07-06
Candida fermentati,Itraconazole,39,0,0,0,39,,v1,2026-07-06
Candida fluviatilis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Itraconazole,3519,0,0,0,3519,,v1,2026-07-06
Candida guilliermondii,Itraconazole,123,0,0,0,123,,v1,2026-07-06
Candida haemulonii,Itraconazole,9,0,0,0,9,,v1,2026-07-06
Candida inconspicua,Itraconazole,12,0,0,0,12,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Candida intermedia,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Candida kefyr,Itraconazole,143,0,0,0,143,,v1,2026-07-06
Candida krusei,Itraconazole,510,0,0,0,510,,v1,2026-07-06
Candida lipolytica,Itraconazole,13,0,0,0,13,,v1,2026-07-06
Candida lusitaniae,Itraconazole,350,0,0,0,350,,v1,2026-07-06
Candida margitis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Itraconazole,66,0,0,0,66,,v1,2026-07-06
Candida nivariensis,Itraconazole,13,0,0,0,13,,v1,2026-07-06
Candida norvegensis,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Candida orthopsilosis,Itraconazole,131,0,0,0,131,,v1,2026-07-06
Candida palmioleophila,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Itraconazole,2798,0,0,0,2798,,v1,2026-07-06
Candida pararugosa,Itraconazole,11,0,0,0,11,,v1,2026-07-06
Candida pelliculosa,Itraconazole,40,0,0,0,40,,v1,2026-07-06
Candida pseudohaemulonii,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida rugosa,Itraconazole,8,0,0,0,8,,v1,2026-07-06
Candida sojae,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Candida thasaenensis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Candida theae,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Itraconazole,1772,0,0,0,1772,,v1,2026-07-06
Candida utilis,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Coprinellus radians,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Cryptococcus gattii,Itraconazole,10,0,0,0,10,,v1,2026-07-06
Cryptococcus gattii species complex,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Cryptococcus neoformans,Itraconazole,97,0,0,0,97,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Itraconazole,313,0,0,0,313,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Itraconazole,40,0,0,0,40,,v1,2026-07-06
